RFs	Gene.ID	Regulatory.Type	RIF1_Pearson	RIF1_Spearman	RIF1_Sobolev	RIF1_Fisher	RIF2_Pearson	RIF2_Spearman	RIF2_Sobolev	RIF2_Fisher
ENSG00000128645	HOXD1	TF	0.46	0.58	0.76	0.34	0.79	0.79	0.74	0.88
ENSG00000128710	HOXD10	TF	-1.87	-1.33	0.23	-0.19	0.55	0.49	0.03	0.21
ENSG00000128713	HOXD11	TF	-1.52	-1.12	-0.05	-0.23	0.77	0.71	0.02	0.09
ENSG00000128714	HOXD13	TF	0.52	-0.12	0.65	0.33	0.43	0.76	-0.27	-0.53
ENSG00000128886	ELL3	TF	0.02	-2.28	0.12	-0.07	-0.07	-1.25	0.49	0.62
ENSG00000129152	MYOD1	TF	-2.55	-0.55	0.57	-0.28	-1.37	-0.08	0.47	0.14
ENSG00000129170	CSRP3	TF	-2.28	-1.03	0.58	-0.16	-1.34	0.01	0.47	0.15
ENSG00000129194	SOX15	TF	-0.58	-0.16	-1.97	-0.61	0.86	0.79	0.24	0
ENSG00000130700	GATA5	TF	0.53	0.31	-0.04	0.35	-0.95	-1.38	0.01	-0.9
ENSG00000130711	PRDM12	TF	0.85	0.71	0.31	-0.09	0.03	-0.34	0.59	1.03
ENSG00000131264	CDX4	TF	-0.72	-0.82	-0.1	0.03	0.82	0.83	0.86	1.12
ENSG00000132170	PPARG	TF	-0.29	0.02	-1.93	-1.43	0.65	0.78	0.97	1.17
ENSG00000132274	TRIM22	TF	0.56	0.45	0.03	0.15	0.75	0.74	-0.08	-0.18
ENSG00000133937	GSC	TF	0.63	0.66	-0.6	-0.27	0.24	0.12	0.52	0.64
ENSG00000134138	MEIS2	TF	0.46	0.13	-1.13	-0.15	0.15	0.49	-0.48	-0.73
ENSG00000134532	SOX5	TF	0.65	0.66	-0.42	0.3	-1.18	-0.65	-0.89	-1.42
ENSG00000134595	SOX3	TF	0.4	0.73	0.78	0.45	0.71	0.74	0.5	0.67
ENSG00000134668	SPOCD1	TF	0.63	0.68	0.33	0.06	0.77	0.77	0.73	0.91
ENSG00000135100	HNF1A	TF	-0.75	-0.1	0.66	0.16	0.73	0.86	0.49	0.74
ENSG00000135144	DTX1	TF	0	-0.15	0.63	0.26	0.75	0.83	0.02	0.07
ENSG00000135476	ESPL1	TF	0.72	-0.49	0.83	0.47	0.29	-0.89	0.62	0.78
ENSG00000135547	HEY2	TF	-0.39	-0.35	0.62	0.14	0.3	0.55	-0.49	-0.58
ENSG00000135625	EGR4	TF	0.61	0.62	0.68	0.31	0.8	0.81	0.43	0.51
ENSG00000135903	PAX3	TF	0.72	0.5	0.64	0.3	-0.22	0.67	-0.82	-0.64
ENSG00000136574	GATA4	TF	0.39	0.26	0.61	0.34	0.74	0.67	0.21	0.25
ENSG00000136944	LMX1B	TF	0.73	0.76	0.79	0.44	0.66	0.77	0.18	0.27
ENSG00000137265	IRF4	TF	0.34	-0.37	0.68	0.25	0.72	0.58	0.18	0.48
ENSG00000137273	FOXF2	TF	-0.01	0.02	0.43	0.1	-0.87	0.09	-0.76	-0.95
ENSG00000137699	TRIM29	TF	-1.78	-1.34	-0.66	-0.35	0.47	0.58	0.5	0.58
ENSG00000138738	PRDM5	TF	0.57	0.68	0.09	0.41	-0.19	0.14	-0.4	-0.9
ENSG00000139352	ASCL1	TF	0.06	0.37	0.63	0.27	0.68	0.54	0.29	0.61
ENSG00000139445	FOXN4	TF	0.73	0.76	0.75	0.41	0.4	0.79	0.35	0.58
ENSG00000140044	JDP2	TF	0.11	0.56	-0.99	-0.29	0.79	0.72	0.4	0.22
ENSG00000140682	TGFB1I1	TF	0.63	0.64	-2.04	0.18	-2.88	-3.78	-4.7	-3.27
ENSG00000141052	MYOCD	TF	0.7	0.82	-0.8	0.23	-2.55	-3.03	-2.89	-2.7
ENSG00000141570	CBX8	TF	0.52	0.42	0.5	0.25	0.04	0.23	0.07	0.15
ENSG00000142025	DMRTC2	TF	-0.52	0.48	0.77	0.17	0.56	0.5	0.55	1.07
ENSG00000142611	PRDM16	TF	-0.21	0.45	-4.17	-2.3	0.83	-0.9	1.07	1.06
ENSG00000143013	LMO4	TF	-0.4	-0.62	0.57	0.11	-2.85	-2.93	-2.88	-2.54
ENSG00000143032	BARHL2	TF	0.72	0.66	0.67	0.39	0.75	0.8	0.79	1.11
ENSG00000143171	RXRG	TF	-0.22	-0.17	0.41	0.33	-1.56	-1.29	-1.04	-1.27
ENSG00000143320	CRABP2	TF	0.43	-0.28	0.63	0.38	0.55	0.62	0.22	0.44
ENSG00000143995	MEIS1	TF	0.61	0.59	-1.97	0.23	-1.98	-2.36	-1.35	-1.93
ENSG00000144031	ANKRD53	TF	0.76	0.78	-0.6	0.31	-1.55	-0.98	-1.64	-1.68
ENSG00000144355	DLX1	TF	0.89	0.92	-0.33	-0.38	0.49	0.62	0.75	1.23
ENSG00000145506	NKD2	TF	0.43	0.65	-0.01	0.02	0.52	0.09	0.15	-0.24
ENSG00000146809	ASB15	TF	-3.93	0.01	0.65	0.16	-1.33	0.51	0.57	0.21
ENSG00000146926	ASB10	TF	-0.5	0.48	0.38	0.38	-1.35	-0.1	0.61	0.27
ENSG00000147117	ZNF157	TF	-0.41	-0.22	-1.65	-0.13	0.84	0.76	-0.02	-0.24
ENSG00000147180	ZNF711	TF	0.11	-0.8	0.69	0.29	0.63	0.49	-0.09	0.07
ENSG00000147488	ST18	TF	0.2	-1.87	0.55	0.33	0.36	0.45	0.15	0.39
ENSG00000148513	ANKRD30A	TF	0.6	-0.18	0.77	0.39	0.79	0.2	0.75	0.94
ENSG00000148516	ZEB1	TF	0.16	0.56	-0.32	0.07	-2.48	-1.92	-4.27	-2.61
ENSG00000148677	ANKRD1	TF	-0.67	0.25	0.57	0.21	-0.77	-0.03	0.06	0.02
ENSG00000148704	VAX1	TF	0.16	-1.63	0.83	0.37	0.78	0.47	0.63	0.87
ENSG00000149922	TBX6	TF	0.05	0.38	-1.36	-0.65	0.64	0.78	0.75	0.6
ENSG00000149948	HMGA2	TF	0.62	0.11	0.75	0.41	0.79	0.57	0.52	0.6
ENSG00000150051	MKX	TF	0.38	0.45	-0.18	0.32	-1.56	-1.63	-0.4	-1.63
ENSG00000152192	POU4F1	TF	0.19	0.54	0.74	0.27	0.62	0.82	0.66	0.65
ENSG00000152284	TCF7L1	TF	0.45	0.38	-0.49	0.23	-1.53	-1.74	-1.08	-1.51
ENSG00000152784	PRDM8	TF	-1.33	-0.45	-1.6	-1	0.56	0.54	0.51	0.4
ENSG00000152977	ZIC1	TF	0.25	-0.44	0.59	0.12	0.51	0.51	0.28	0.27
ENSG00000153234	NR4A2	TF	0.74	-0.01	0.7	0.4	0.7	0.72	0.41	0.6
ENSG00000153814	JAZF1	TF	0.43	0.7	0.5	0.23	-2.39	-2.61	-1.97	-2.48
ENSG00000154227	CERS3	TF	-0.1	-1.02	0.61	0.1	0.57	0.46	0.61	0.86
ENSG00000154655	L3MBTL4	TF	-0.51	-0.7	-0.44	-0.16	0.79	0.67	-0.06	-0.08
ENSG00000155846	PPARGC1B	TF	0.52	0.57	0.69	0.41	-0.46	0	-1.1	-0.97
ENSG00000156127	BATF	TF	0.25	0.44	0.55	0.4	0.46	0.66	0.2	0.5
ENSG00000156150	ALX3	TF	0.71	0.67	0.59	0.07	-0.02	-0.05	-0.05	-0.2
ENSG00000156925	ZIC3	TF	0.8	0.66	0.78	0.45	0.62	0.73	0.76	1.03
ENSG00000157554	ERG	TF	0.95	0.45	0.32	0.32	0.47	0.83	0.69	1.03
ENSG00000157557	ETS2	TF	-0.63	0.05	0.7	0.14	0.65	0.76	0.29	0.42
ENSG00000159263	SIM2	TF	-0.02	-0.78	0.06	-0.39	0.07	-0.14	0.55	0.93
ENSG00000159388	BTG2	TF	0.77	0.73	0.56	0.38	0.77	0.72	0.31	0.24
ENSG00000159409	CELF3	TF	0.07	0.48	0.68	0.28	0.67	0.6	0.17	0.47
ENSG00000159556	ISL2	TF	-0.91	-0.3	0.7	-0.02	0.72	0.58	0.06	0.43
ENSG00000160321	ZNF208	TF	-1.65	0.05	-1.07	-0.93	-0.68	-0.26	-1.17	-1.35
ENSG00000162992	NEUROD1	TF	0.57	0.34	0.51	0.37	0.62	0.5	0.76	1.04
ENSG00000163497	FEV	TF	0.63	0.22	-0.17	-0.06	0.23	0.22	0.57	0.71
ENSG00000163565	IFI16	TF	-0.28	-0.25	-1.82	-0.56	0.82	0.78	0.3	0.13
ENSG00000163623	NKX6-1	TF	0.72	0.69	0.84	0.42	0.48	0.67	0.61	1.03
ENSG00000164093	PITX2	TF	-0.65	0.48	0.34	0.25	-1.69	-0.07	0.28	-0.49
ENSG00000164107	HAND2	TF	-0.58	0.54	-0.02	-0.27	0.81	0.37	0.51	0.44
ENSG00000164379	FOXQ1	TF	-0.59	-0.2	0.27	-0.26	0.55	0.28	0.79	1.05
ENSG00000164532	TBX20	TF	0.7	0.26	0.65	0.4	0.71	0.5	0.51	0.92
ENSG00000164736	SOX17	TF	0.56	0.37	-0.79	0.02	0.43	0.22	0.7	0.29
ENSG00000164778	EN2	TF	0.83	0.6	0.13	0.12	0.57	0.76	0.82	1.16
ENSG00000165192	ASB11	TF	-4.3	-1.28	0.55	0.22	-1.26	0.79	0.59	0.16
ENSG00000165702	GFI1B	TF	0.59	0.81	-0.13	0.33	0.67	0.6	0.27	-0.03
ENSG00000165804	ZNF219	TF	0.04	0.36	0.65	0.35	-0.42	-0.63	-0.67	-0.97
ENSG00000165887	ANKRD2	TF	-0.86	-0.72	-0.5	0.36	-1.75	-1.28	0.52	-0.5
ENSG00000166313	APBB1	TF	0.33	0.45	0.02	0.36	-1.94	-1.97	-1.27	-1.56
ENSG00000167157	PRRX2	TF	0.58	0.61	0.31	0.32	0.35	0.36	-0.27	-0.58
ENSG00000167771	RCOR2	TF	0.59	0.45	-1.41	0.03	0.34	-0.24	0.21	-0.32
ENSG00000167800	TBX10	TF	0.53	0.36	0.78	0.29	0.34	0.54	0.19	0.66
ENSG00000168269	FOXI1	TF	0.18	0.55	0.62	0.21	0.83	0.56	0.63	0.75
ENSG00000168453	HR	TF	-3.45	-1.77	-7.96	-3.32	0.85	0.9	0.75	0.56
ENSG00000168505	GBX2	TF	0.08	0.37	0.74	0.33	0.74	0.76	0.12	0.41
ENSG00000168661	ZNF30	TF	0.08	-0.03	0.7	0.42	0	0.15	-0.23	-0.11
ENSG00000168875	SOX14	TF	0.2	0.11	0.68	0.28	0.56	0.67	0.47	0.64
ENSG00000169554	ZEB2	TF	0.6	0.48	-1.29	0.21	-0.34	-0.71	0.42	-0.42
ENSG00000169594	BNC1	TF	-2.88	-3.72	-0.05	-0.57	0.26	-0.03	0.48	0.76
ENSG00000170122	FOXD4	TF	0.66	-1.01	0.89	0.4	0.67	0.29	0.55	0.68
ENSG00000170162	VGLL2	TF	-2.93	-3.94	0.69	-0.11	-1.34	-1.47	0.49	0.17
ENSG00000170178	HOXD12	TF	0.57	0.7	0.54	0.38	0.57	0.5	-0.06	-0.18
ENSG00000170370	EMX2	TF	-0.13	-0.25	0.71	0.11	0.82	-0.47	0.79	1.14
ENSG00000170549	IRX1	TF	0.08	-1.34	0.5	0.3	0.81	0.25	0.73	0.9
ENSG00000170577	SIX2	TF	0.05	0.71	0.66	0.36	-0.86	0.3	-1.01	-0.72
ENSG00000170684	ZNF296	TF	0.26	-0.36	0.73	0.3	0.43	0.66	0.11	0.36
ENSG00000170689	HOXB9	TF	0.57	0	0.35	0.04	0.77	0.45	0.84	1.15
ENSG00000170748	RBMXL2	TF	0.01	0.33	0.7	0.41	0.54	0.64	0.52	0.61
ENSG00000171056	SOX7	TF	-0.48	0.43	0.27	-0.13	0.67	0.72	0.34	0.42
ENSG00000172201	ID4	TF	0.19	0.31	0.27	0.2	-0.64	0.29	-1.43	-1.28
ENSG00000172238	ATOH1	TF	0.74	0.44	0.25	0.16	0.6	-0.25	0.87	1.29
ENSG00000172346	CSDC2	TF	0.17	-0.26	0.68	0.27	-0.63	-1.57	-0.35	-0.92
ENSG00000172819	RARG	TF	-0.75	-0.08	-1.5	-0.51	0.62	0.63	0.38	0.3
ENSG00000173253	DMRT2	TF	0.73	0.38	0.61	0.42	0.64	0.18	0.33	0.18
ENSG00000173258	ZNF483	TF	0.71	0.69	0.21	0.42	-0.1	0.19	-0.47	-0.84
ENSG00000173917	HOXB2	TF	0.58	0.47	-1.18	-0.26	0.74	0.82	0.64	0.36
ENSG00000174332	GLIS1	TF	-0.11	0.64	-2.09	-0.95	0.19	-0.91	0.06	-0.4
ENSG00000175183	CSRP2	TF	0.57	0.28	0.28	0.09	0.49	0.58	0.41	0.53
ENSG00000175592	FOSL1	TF	-0.33	0.65	0.59	0.02	0.6	0.8	0.76	1.11
ENSG00000175832	ETV4	TF	-0.1	0.62	-0.35	-0.07	0.77	0.66	0.06	-0.01
ENSG00000176009	ASCL3	TF	0.12	0.58	0.27	0.14	0.77	0.76	0.69	0.94
ENSG00000176165	FOXG1	TF	0.79	0.7	0.88	0.49	0.48	0.18	0.7	1.11
ENSG00000176887	SOX11	TF	0.71	0.39	0.76	0.43	0.77	0.83	0.77	1.02
ENSG00000177469	PTRF	TF	0.13	0.29	-0.4	-0.1	-2.84	-3.06	-4.91	-3.08
ENSG00000177551	NHLH2	TF	0.57	0.52	0.75	0.39	0.35	0.36	0.33	0.59
ENSG00000178150	ZNF114	TF	0.65	0.83	-0.98	-0.03	0.58	0.3	0.34	0.01
ENSG00000178403	NEUROG2	TF	0.76	0.06	0.78	0.42	0.65	0.28	0.79	1.23
ENSG00000179772	FOXS1	TF	0.38	0.18	0.77	0.28	0.82	0.76	-0.11	-0.25
ENSG00000179909	ZNF154	TF	0.56	0.73	-1.17	-0.04	0.54	0.44	-0.03	-0.39
ENSG00000180532	ZSCAN4	TF	0.06	0.17	0.75	0.38	0.35	0.66	0.53	0.83
ENSG00000180535	BHLHA15	TF	0.35	-0.09	0.16	-0.02	0.76	0.73	0.66	0.72
ENSG00000180596	HIST1H2BC	TF	0.34	-0.51	0.06	-0.02	-0.48	-1.79	0.46	0.69
ENSG00000180818	HOXC10	TF	-0.25	-0.36	-0.62	0.36	-1.46	-1.09	0.68	-0.04
ENSG00000181690	PLAG1	TF	0.65	0.8	0.66	0.37	0.76	0.77	-0.16	-0.17
ENSG00000182636	NDN	TF	0.27	0.11	0.12	0.38	-2.36	-3.32	-1.38	-1.96
ENSG00000182742	HOXB4	TF	0.41	0.46	-0.32	-0.33	0.78	0.81	0.85	0.85
ENSG00000182759	MAFA	TF	-0.56	0.6	0.51	0.3	-0.13	0.83	-0.62	-0.26
ENSG00000182968	SOX1	TF	0.25	0.63	0.41	0.02	0.63	0.5	0.29	0.33
ENSG00000183770	FOXL2	TF	0.45	0.52	0.74	0.36	0.53	0.23	0.24	0.76
ENSG00000183831	ANKRD45	TF	0.26	0.64	-0.08	0.33	-1.11	-0.27	-1.82	-0.99
ENSG00000184895	SRY	TF	0.38	0.26	0.7	0.4	0.77	0.67	0.39	0.4
ENSG00000185155	MIXL1	TF	0.41	0.64	0.39	0.33	0.35	-0.52	-0.3	-0.59
ENSG00000185650	ZFP36L1	TF	-0.44	-0.2	0.21	-0.06	0.75	0.76	-0.07	-0.03
ENSG00000185668	POU3F1	TF	0.6	0.5	0.74	0.3	0.59	0.56	0.14	0.21
ENSG00000186310	NAP1L3	TF	0.09	-0.12	-0.62	0.37	-0.99	-1.17	0.13	-1.11
ENSG00000186487	MYT1L	TF	-0.58	0.28	-2.27	-0.89	-2.17	-1.83	-2.54	-1.91
ENSG00000187837	HIST1H1C	TF	0.61	-0.01	0.74	0.32	-0.23	-0.85	0.27	0.56
ENSG00000197256	KANK2	TF	0.41	0.41	0.2	0.25	-2.6	-3.09	-2.81	-2.74
ENSG00000197343	ZNF655	TF	-0.3	-1.53	0.64	0.29	0.7	0.3	-0.24	-0.22
ENSG00000197472	ZNF695	TF	0.78	0.62	0.79	0.21	0.32	0.31	0.38	0.86
ENSG00000197587	DMBX1	TF	0.78	0.72	0.73	0.37	0.46	0.18	0.57	1
ENSG00000197757	HOXC6	TF	0.58	0.68	0.44	-0.52	0.49	0.79	0.8	1.25
ENSG00000198028	ZNF560	TF	0.78	0.52	0.49	0.31	0.51	0.58	0.8	1.13
ENSG00000198353	HOXC4	TF	0.36	0.69	-0.38	-0.92	0.36	0.63	0.76	1.19
ENSG00000198881	ASB12	TF	-0.57	-0.38	-2.13	-0.64	-2.27	-1.49	-4.17	-2.38
ENSG00000198914	POU3F3	TF	-0.06	-0.28	0.73	0.25	0.82	0.63	0.78	1.13
ENSG00000204531	POU5F1	TF	0.25	0.43	-0.18	-0.56	0.76	0.81	0.8	0.92
